,x,y,target
548,-24.999115,-9.10582,0
549,-6.8527756,-17.666658,1
550,6.499432,12.770315,1
551,22.35572,-9.674638,1
552,37.80297,0.3491335,1
553,56.035,45.672367,1
554,-17.885975,-17.88659,1
555,12.448467,-14.396408,1
556,76.40494,49.0576,1
557,-45.82334,8.41302,0
558,-51.645615,40.904877,0
559,-35.645798,10.081935,0
560,-56.266884,2.2984505,0
561,-53.948677,28.89114,0
562,31.625587,-3.368728,1
563,1.912072,-18.384846,1
564,-58.65564,11.949326,0
565,7.800455,0.5292059,1
566,-74.06055,36.18977,0
567,-8.481779,-8.627959,1
568,47.111748,6.227148,1
569,-80.27298,44.473976,0
570,51.710182,5.7952003,1
571,-2.1873186,-16.036781,1
572,27.457916,-15.673094,1
573,-25.237581,-8.386656,0
574,3.4338644,-11.028643,1
575,-64.82413,8.504792,0
576,-82.55825,30.19294,0
577,33.242264,-2.0426126,1
578,7.381336,-20.602215,1
579,-25.968218,-3.1269689,0
580,51.193962,3.693984,1
581,-43.208942,14.764029,0
582,70.06851,36.525368,1
583,6.7769084,-16.995792,1
584,-38.59964,11.428404,0
585,-2.7697282,-5.368168,1
586,-15.677371,-11.217731,0
587,6.3203754,-17.536049,1
588,-9.657051,-26.252058,1
589,10.715845,-18.80508,1
590,40.799267,14.851141,1
591,-35.402603,11.771862,0
592,6.2411766,-15.552356,1
593,-12.378384,-8.6820965,1
594,56.53337,27.29942,1
595,24.33627,-5.5400467,1
596,3.841638,-2.9465466,1
597,-25.129572,-10.758026,0
598,-38.358772,-6.4114523,0
599,10.672776,-4.294434,1
600,11.991242,-7.8146696,1
601,13.388337,-13.219448,1
602,61.334114,0.05474913,1
603,-3.2947326,-8.990663,1
604,37.716038,-8.755726,1
605,-44.640514,16.11667,0
606,-42.212303,-0.11964047,0
607,48.751205,-4.4992967,1
608,6.566426,5.0056124,1
609,9.128,-12.56143,1
610,14.042006,-8.672519,1
611,29.19497,-4.7986183,1
612,57.49354,15.136913,1
613,-2.4218626,-1.9348298,1
614,-5.5462027,-18.777441,0
615,-9.542752,-14.353619,1
616,45.766144,1.3689296,1
617,-46.15487,20.404978,0
618,35.675026,-13.53044,1
619,18.914597,-11.056005,1
620,-28.602478,-14.706309,0
621,-26.662794,0.86400956,0
622,-27.99058,-4.024029,0
623,-68.10466,1.2531929,0
624,-33.728813,17.737782,0
625,-72.626236,27.181395,0
626,-71.267914,11.70404,0
627,67.0096,22.986572,1
628,21.705805,19.225315,1
629,-0.59687155,-9.25836,1
630,-83.23656,16.974594,0
631,70.26695,-3.129999,1
632,-13.392538,6.543082,1
633,-49.04412,9.250343,0
634,57.390358,-1.8571882,1
635,-20.339096,-20.118221,1
636,-14.861416,-25.383875,1
637,-14.307627,-16.477455,1
638,37.09722,1.7996082,1
639,-58.149734,13.408983,0
640,-31.381283,0.5879121,0
641,40.324696,3.905146,1
